P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data     6/09/2019  re-evaluated data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peakarea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filename,position (mm),sample surface,validity,E-gain,E-offset,F-slope,F-offset,cps,MSE,Al,Si,P,S,Cl,Ar,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Zr,Sb,Ba,La,Ce,Pr,Nd,Sm,Yb,Hf,Ta,Pb,Bi,Mo inc,Mo coh,Dt
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000025.spe,96.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,404418,1.78,223,332,99,277,5594,816,3355,3121,3592,340,277,8164,300748,992,446,936,363,252,2563,905,14011,1807,3289,1392,0,0,0,0,28,0,170,0,0,332,1508,567,232574,47282,0.505
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000026.spe,97.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,421031,1.79,136,363,132,246,6150,836,3342,3185,3828,299,226,9203,329758,967,434,924,298,396,2693,776,14784,2189,3644,1698,5,22,0,0,0,0,170,0,0,323,1378,684,229528,47116,0.511
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000027.spe,98.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,391201,1.78,188,324,116,306,6080,859,3496,3351,4055,246,211,8664,287334,1100,376,702,0,297,2874,1020,15787,2037,3655,2112,8,0,0,0,0,0,92,0,0,319,1093,546,228615,46666,0.495
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000028.spe,99.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,403392,1.78,229,353,180,292,6027,887,3159,3415,3233,241,238,8052,357429,856,316,712,0,340,3588,830,14842,980,3303,1143,0,12,0,0,0,0,123,31,0,366,765,857,219336,45098,0.495
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000029.spe,100.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,378691,1.71,200,339,148,323,6338,1038,3376,4152,3640,302,212,9475,292734,957,312,794,454,228,3860,964,15264,1571,3975,2673,11,100,0,0,0,0,178,0,0,496,1132,899,221890,46604,0.483
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000030.spe,101.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,382419,1.63,223,287,130,329,6825,967,3036,3377,3317,334,198,8931,303463,1102,485,1011,145,458,3731,913,15052,1499,3671,1443,15,0,0,0,0,0,152,0,0,246,1249,852,223187,46845,0.485
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000031.spe,102.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,400932,1.77,223,276,174,271,6440,895,2930,3477,3172,376,147,8387,349683,876,375,843,82,381,4378,1014,14953,1630,3408,1312,34,61,0,0,0,0,163,0,0,405,1048,659,222335,46614,0.492
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000032.spe,103.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,401958,1.81,153,316,111,329,7375,839,3413,3554,3773,288,138,9329,342435,1042,398,957,368,370,4292,864,14967,1706,3604,862,16,4,0,0,0,0,149,0,0,577,1070,655,222048,46809,0.493
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000033.spe,104.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,366608,1.64,162,325,83,279,7150,942,3362,3435,3706,251,183,8146,250880,1097,914,816,0,402,3517,1052,16639,1173,3579,1166,54,0,0,0,0,0,47,0,0,344,1485,1032,224679,46867,0.477
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000034.spe,105.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,311019,1.5,172,281,111,252,6317,1009,3362,3066,4071,312,127,5107,159611,1068,922,691,0,360,1828,978,14704,1509,2699,1058,72,26,0,0,0,28,88,0,0,345,1291,976,225987,46480,0.447
